0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:54:13 -0300] "GET /ProjetoTrilhaWeb2/css/jquery-ui.css HTTP/1.1" 200 35959
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:54:13 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/footer.html HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:54:13 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/header.html HTTP/1.1" 200 1016
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:54:13 -0300] "GET /ProjetoTrilhaWeb2/img/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:54:17 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/marca/ HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:54:17 -0300] "GET /ProjetoTrilhaWeb2/js/marca.js HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:20 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:21 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:21 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:21 -0300] "GET /ProjetoTrilhaWeb2/css/jquery-ui.css HTTP/1.1" 200 35959
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:21 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 200 3065
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:21 -0300] "GET /ProjetoTrilhaWeb2/js/jquery-ui.js HTTP/1.1" 200 518995
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:21 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/header.html HTTP/1.1" 200 1016
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:21 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/footer.html HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:21 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:21 -0300] "GET /ProjetoTrilhaWeb2/img/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:23 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/marca/ HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:23 -0300] "GET /ProjetoTrilhaWeb2/js/marca.js HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:25 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar?valorBusca= HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:25 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar?valorBusca= HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:26 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar?valorBusca= HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:27 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar?valorBusca= HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:31 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar?valorBusca= HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:32 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar?valorBusca= HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:56:36 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar?valorBusca= HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [18/Nov/2024:19:00:28 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 200 993
